,Compound.Type,Column,Compound.Name,,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name
89,Phytohormone,RP,Methyl indole-3-carboxylate,,methyl 1H-indole-3-carboxylate,QXAUTQFAWKKNLM-UHFFFAOYSA-N,COC(=O)C1=CNC2=CC=CC=C21
90,Sulfur,RP,Methylthioadenosine,,"(2R,3R,4S,5S)-2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol",WUUGFSXJNOTRMR-IOSLPCCCSA-N,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
91,Antibiotic,RP,Monesin,,"(2S,3S,4R)-4-[(2S,7S,8R,9S)-2-[(2R,5S)-5-ethyl-5-[(2R,3S,5R)-5-[(2S,3S,5R,6R)-6-hydroxy-6-(hydroxymethyl)-3,5-dimethyloxan-2-yl]-3-methyloxolan-2-yl]oxolan-2-yl]-7-hydroxy-2,8-dimethyl-1,10-dioxaspiro[4.5]decan-9-yl]-3-methoxy-2-methylpentanoic acid",GAOZTHIDHYLHMS-QVJPPVPRSA-N,CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C
92,New2,RP,Ophthalmic acid,,(2S)-2-amino-5-[[(2S)-1-(carboxymethylamino)-1-oxobutan-2-yl]amino]-5-oxopentanoic acid,JCMUOFQHZLPHQP-BQBZGAKWSA-N,CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
93,Lignin,RP,p-Coumaric acid,,(E)-3-(4-hydroxyphenyl)prop-2-enoic acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,C1=CC(=CC=C1C=CC(=O)O)O
94,Quorum sensing,RP,N-(4-Coumaroyl)-L-homoserine lactone,,3-(4-hydroxyphenyl)-N-[(3S)-2-oxooxolan-3-yl]prop-2-enamide,CCIXZFJYFQJTGK-NSHDSACASA-N,C1COC(=O)C1NC(=O)C=CC2=CC=C(C=C2)O
95,Amino Acid,RP,L-Phenylalanine,,(2S)-2-amino-3-phenylpropanoic acid,COLNVLDHVKWLRT-QMMMGPOBSA-N,C1=CC=C(C=C1)CC(C(=O)O)N
96,New2,RP,O-Propionylcarnitine,,3-propanoyloxy-4-(trimethylazaniumyl)butanoate,UFAHZIUFPNSHSL-UHFFFAOYSA-N,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
97,Vitamin,RP,Pyridoxal,,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carbaldehyde,RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C=O)CO
98,Vitamin,RP,Pyridoxal phosphate,,(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate,NGVDGCNFYWLIFO-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
99,Internal Standard,RP,"Pyridoxal, 2H3",,,,
100,Vitamin,RP,Pyridoxamine,,4-(aminomethyl)-5-(hydroxymethyl)-2-methylpyridin-3-ol,NHZMQXZHNVQTQA-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)CN)CO
101,Vitamin rhodopsin,RP,Retinoic acid,,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",SHGAZHPCJJPHSC-YCNIQYBTSA-N,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
102,Redox,RP,Riboflavin-5-phosphate,,"[(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] dihydrogen phosphate",FVTCRASFADXXNN-SCRDCRAPSA-N,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O
103,Redox,RP,Riboflavin-5-phosphate,,,,
104,Internal Standard,RP,"Riboflavin-dioxopyrimidine, 13C4, 15N2",,,,
105,Vitamin B12,RP,Cyanocobalamin,,"cobalt(3+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl] phosphate;cyanide",FDJOLVPMNUYSCM-WZHZPDAFSA-L,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
106,New2,RP,S-Farnesyl-L-cysteine methyl ester,,"methyl (2R)-2-amino-3-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]sulfanylpropanoate",SIEHZFPZQUNSAS-GCVUPTOQSA-N,CC(=CCCC(=CCCC(=CCSCC(C(=O)OC)N)C)C)C
107,Lignin,RP,Sinapic acid,,"(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid",PCMORTLOPMLEFB-ONEGZZNKSA-N,COC1=CC(=CC(=C1O)OC)C=CC(=O)O
108,Sterol precursor,RP,Squalene,,"(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",YYGNTYWPHWGJRM-AAJYLUCBSA-N,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C
109,Vitamin,RP,5-(2-Hydroxyethyl)-4-methylthiazole,,"2-(4-methyl-1,3-thiazol-5-yl)ethanol",BKAWJIRCKVUVED-UHFFFAOYSA-N,CC1=C(SC=N1)CCO
110,Lignin,RP,Syringaldehyde,,"4-hydroxy-3,5-dimethoxybenzaldehyde",KCDXJAYRVLXPFO-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C=O
111,Lignin,RP,Syringic acid,,"4-hydroxy-3,5-dimethoxybenzoic acid",JMSVCTWVEWCHDZ-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C(=O)O
112,Internal Standard,RP,"Thiamine, 13C3",,,,
113,Vitamin (B1-derivative),RP,Thiamine monophosphate,,"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl dihydrogen phosphate",HZSAJDVWZRBGIF-UHFFFAOYSA-O,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O
114,Vitamin (B1-derivative),RP,Thiamine diphosphate,,"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl phosphono hydrogen phosphate",AYEKOFBPNLCAJY-UHFFFAOYSA-O,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O
115,Vitamin (fat soluble),RP,alpha-Tocopherol,,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",GVJHHUAWPYXKBD-IEOSBIPESA-N,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
116,Vitamin (fat soluble),RP,alpha-Tocotrienol,,"(2R)-2,5,7,8-tetramethyl-2-[(3E,7E)-4,8,12-trimethyltrideca-3,7,11-trienyl]-3,4-dihydrochromen-6-ol",RZFHLOLGZPDCHJ-XZXLULOTSA-N,CC1=C(C2=C(CCC(O2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=C1O)C)C
117,Lignin,RP,trans-Cinnamic acid,,(E)-3-phenylprop-2-enoic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,C1=CC=C(C=C1)C=CC(=O)O
118,Vitamin rhodopsin,RP,Retinal,,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",NCYCYZXNIZJOKI-OVSJKPMPSA-N,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C
119,Antioxidant,RP,Trolox,,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid",GLEVLJDDWXEYCO-UHFFFAOYSA-N,CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C
120,Antibiotic,RP,Thiotropocin,,"8-sulfanylcyclohepta[c]oxathiole-3,4-dione",RWJXTYSZCDAMCD-UHFFFAOYSA-N,C1=CC(=O)C2=C(C(=C1)S)SOC2=O
121,Phytohormone,RP,Tryptophol,,2-(1H-indol-3-yl)ethanol,MBBOMCVGYCRMEA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CCO
122,Internal Standard,RP,"Tryptamine, 2H4",,,,
123,Amino Acid,RP,L-Tryptophan,,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,QIVBCDIJIAJPQS-VIFPVBQESA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
124,Phytohormone,RP,Tryptophol,,2-(1H-indol-3-yl)ethanol,MBBOMCVGYCRMEA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CCO
125,Amino Acid,RP,L-Tyrosine,,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,OUYCCCASQSFEME-QMMMGPOBSA-N,C1=CC(=CC=C1CC(C(=O)O)N)O
126,Lignin,RP,Vanillic acid,,4-hydroxy-3-methoxybenzoic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(=O)O)O
127,Lignin,RP,Vanillin,,4-hydroxy-3-methoxybenzaldehyde,MWOOGOJBHIARFG-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=O)O
128,Vitamin,RP,Thiamine,,"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol",JZRWCGZRTZMZEH-UHFFFAOYSA-N,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
129,Vitamin,RP,Vitamin B2,,"7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]benzo[g]pteridine-2,4-dione",AUNGANRZJHBGPY-SCRDCRAPSA-N,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
130,Vitamin,RP,Nicotinic acid,,pyridine-3-carboxylic acid,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)O
131,Vitamin,RP,Pantothenic acid,,"3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid",GHOKWGTUZJEAQD-ZETCQYMHSA-N,CC(C)(CO)C(C(=O)NCCC(=O)O)O
132,Vitamin,RP,Pyridoxol,,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",LXNHXLLTXMVWPM-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)CO)CO
133,Vitamin,RP,Biotin,,"5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid",YBJHBAHKTGYVGT-ZKWXMUAHSA-N,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
134,Vitamin,RP,Folic acid,,(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,OVBPIULPVIDEAO-LBPRGKRZSA-N,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
135,Vitamin,RP,Vitamin C,,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C(C(C1C(=C(C(=O)O1)O)O)O)O
136,Vitamin (fat soluble),RP,Vitamin D2,,"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
137,Quinone,RP,Vitamin K1,,"2-methyl-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione",MBWXNTAXLNYFJB-NKFFZRIASA-N,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
138,Quinone,RP,Vitamin K2,,"2-methyl-3-[(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenyl]naphthalene-1,4-dione",DKHGMERMDICWDU-GHDNBGIDSA-N,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
139,Purine,RP,Xanthine,,"3,7-dihydropurine-2,6-dione",LRFVTYWOQMYALW-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)NC(=O)N2
140,Phytohormone,RP,Zeatin,,(E)-2-methyl-4-(7H-purin-6-ylamino)but-2-en-1-ol,UZKQTCBAMSWPJD-FARCUNLSSA-N,CC(=CCNC1=NC=NC2=C1NC=N2)CO
141,New,HILIC,2-Hydroxy-4-(methylthio)butyric acid,,2-hydroxy-4-methylsulfanylbutanoic acid,ONFOSYPQQXJWGS-UHFFFAOYSA-N,CSCCC(C(=O)O)O
142,Sulfur,HILIC,3-Sulfopyruvic acid,,2-oxo-3-sulfopropanoic acid,BUTHMSUEBYPMKJ-UHFFFAOYSA-N,C(C(=O)C(=O)O)S(=O)(=O)O
143,Co-enzyme A,HILIC,Acetoacetyl-CoA,,"S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate",OJFDKHTZOUZBOS-CITAKDKDSA-N,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
144,Co-enzyme A,HILIC,Acetyl-CoA,,"S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] ethanethioate",ZSLZBFCDCINBPY-ZSJPKINUSA-N,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
145,Internal Standard,HILIC,"Acetyl-CoA, 13C2",,,,
146,New2,HILIC,O-Acetylcarnitine,,[(2S)-2-acetyloxy-3-carboxypropyl]-trimethylazanium  ,RDHQFKQIGNGIED-QMMMGPOBSA-O  ,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
147,Organic Acid,HILIC,cis-Aconitic acid,,"(Z)-prop-1-ene-1,2,3-tricarboxylic acid",GTZCVFVGUGFEME-IWQZZHSRSA-N,C(C(=CC(=O)O)C(=O)O)C(=O)O
148,Nucleic Acid,HILIC,Adenine,,7H-purin-6-amine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C1=NC2=NC=NC(=C2N1)N
149,Nucleic Acid,HILIC,Adenine,,,,
150,Nucleoside,HILIC,Adenosine,,"(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
151,Nucleoside,HILIC,Adenosine,,,,
152,Internal Standard,HILIC,"Adenosine monophosphate, 15N5",,,,
153,Amino Acid synthesis,HILIC,S-Adenosylhomocysteine,,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid",ZJUKTBDSGOFHSH-WFMPWKQPSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
154,Amino Acid synthesis,HILIC,S-Adenosylmethionine,,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate",MEFKEPWMEQBLKI-AIRLBKTGSA-N,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
155,Energy charge,HILIC,Adenosine diphosphate,,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",XTWYTFMLZFPYCI-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N
156,Amino Acid,HILIC,L-Alanine,,(2S)-2-aminopropanoic acid,QNAYBMKLOCPYGJ-REOHCLBHSA-N,CC(C(=O)O)N
157,Sulfur,HILIC,Amino Propanesulfonic Acid,,3-aminopropane-1-sulfonate,SNKZJIOFVMKAOJ-UHFFFAOYSA-M,C(CN)CS(=O)(=O)[O-]
158,Amino Acid - degraded,HILIC,4-Aminobutyric acid,,4-aminobutanoic acid,BTCSSZJGUNDROE-UHFFFAOYSA-N,C(CC(=O)O)CN
159,Energy charge,HILIC,Adenosine monophosphate,,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",UDMBCSSLTHHNCD-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
160,Amino Acid,HILIC,L-Arginine,,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,ODKSFYDXXFIFQN-BYPYZUCNSA-N,C(CC(C(=O)O)N)CN=C(N)N
161,New,HILIC, L-Arginosuccinic acid,,(2S)-2-[[N'-[(4S)-4-amino-4-carboxybutyl]carbamimidoyl]amino]butanedioic acid,KDZOASGQNOPSCU-WDSKDSINSA-N,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O
162,Amino Acid,HILIC,L-Asparagine,,"(2S)-2,4-diamino-4-oxobutanoic acid",DCXYFEDJOCDNAF-REOHCLBHSA-N,C(C(C(=O)O)N)C(=O)N
163,Amino Acid,HILIC,L-Aspartic acid,,(2S)-2-aminobutanedioic acid,CKLJMWTZIZZHCS-REOHCLBHSA-N,C(C(C(=O)O)N)C(=O)O
164,Energy charge,HILIC,Adenosine triphosphate,,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",ZKHQWZAMYRWXGA-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
165,Amino Acid derivative,HILIC,Glycine betaine,,2-(trimethylazaniumyl)acetate,KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC(=O)[O-]
167,New2,HILIC,Butyrylcarnitine,,(3R)-3-butanoyloxy-4-(trimethylazaniumyl)butanoate,QWYFHHGCZUCMBN-SECBINFHSA-N,CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
168,Intracellular signaling,HILIC,"3',5'-Cyclic AMP",,"(4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",IVOMOUWHDPKRLL-KQYNXXCUSA-N,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
169,New,HILIC,Carnitine,,3-hydroxy-4-(trimethylazaniumyl)butanoate,PHIQHXFUZVPYII-UHFFFAOYSA-N,C[N+](C)(C)CC(CC(=O)[O-])O
170,Intracellular signaling,HILIC,"3',5'-Cyclic GMP",,"9-[(4aR,6R,7R,7aS)-7-hydroxy-2-oxido-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-1H-purin-6-one",ZOOGRGPOEVQQDX-UUOKFMHZSA-M,C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)[O-]
171,Amino sugar,HILIC,Chitobiose,,"N-[(2S,3R,4R,5S,6R)-2-[(2R,3S,4R,5R)-5-acetamido-1,2,4-trihydroxy-6-oxohexan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",PLJAKLUDUPBLGD-VLWZLFBZSA-N,CC(=O)NC1C(C(C(OC1OC(C(CO)O)C(C(C=O)NC(=O)C)O)CO)O)O
172,Vitamin (B-like),HILIC,Choline,,2-hydroxyethyl(trimethyl)azanium,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO
173,Organic Acid,HILIC,Citric acid,,"2-hydroxypropane-1,2,3-tricarboxylic acid",KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
174,New,HILIC,Citrulline,,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,RHGKLRLOHDJJDR-BYPYZUCNSA-N,C(CC(C(=O)O)N)CNC(=O)N
175,Organic Acid - nitrogenous,HILIC,Creatine,,2-[carbamimidoyl(methyl)amino]acetic acid,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(=O)O)C(=N)N
